Teks,Label Sebenarnya,Prediksi,Analisis
"Tolong tingkat SLTA jangan terlalu banyak mapel, dibuat peminatan non wajib biar bisa dialokasikan untuk wajib membaca di perpus, wajib tidur siang, wajib senam peregangan.",Netral,Negatif,Model gagal mengidentifikasi sentimen karena terdapat struktur kalimat negasi ganda atau ambiguitas kata.
"Anak punya kelebihan sendiri , belum tahu kedepanny.",Netral,Negatif,Model gagal mengidentifikasi sentimen karena terdapat struktur kalimat negasi ganda atau ambiguitas kata.
Persiapkan diri aja deh kuliah di swasta aja (itupun klo mo kuliah). Ribet emng pendidikan di Indonesia,Negatif,Netral,Model gagal mengidentifikasi sentimen karena terdapat struktur kalimat negasi ganda atau ambiguitas kata.
Smk dan Sma harus nya  TKA di bedakan...TKA smk di bikin tersendiri kalau memang mau di adakan karena di smk ada magang wajib dan banyak praktek beda dg sma lebih banyak teori dan tidak ada magang kerja..dan mata pelajaran yg di ujipun di smk dan sma jauh beda.,Netral,Negatif,Model gagal mengidentifikasi sentimen karena terdapat struktur kalimat negasi ganda atau ambiguitas kata.
"Knapa tidak semua ijut TKA, kalo diuji, uji saja semuanya. Kalo tak wajib utk apa dilakukan. Sy guru, tpi belum faham konsep tka secara komprehensip.",Negatif,Positif,Model gagal mengidentifikasi sentimen karena terdapat struktur kalimat negasi ganda atau ambiguitas kata.
"22:03 permasalahannya kondisi lingkungan anak-anak sekolah di Indonesia tidak mendukung sistem ""pasti naik kelas""

Kalau nih, kalau setiap sekolah di seluruh daerah di dunia lingkungan sekolahnya sama, fasilitasnya sama, bahkan support dari keluarganya sama, ya bisa!

Jadi jangan asal nyomot sistem dari luar",Netral,Negatif,Model gagal mengidentifikasi sentimen karena terdapat struktur kalimat negasi ganda atau ambiguitas kata.
"Alhamdulillah, setelah saya melihat soal TKA yang diluncurkan sampai saat ini, hampir semuanya mengarah kepada High Order Thinking Skill, stimulus bekerja dengan baik, dan peserta TKA harus literat, mampu membaca data. Ada dari contoh soal yang dikeluarkan dikdasmen tanpa saya harus menguasai suatu pelajaran tertentu namun bisa saya jawab dengan teliti dan kritis dalam membaca soal yang diberikan, bukankah ini literasi yang disasar? Dari semua mata pelajaran yang dicontohkan semua soal berdasarkan data, maka bagi peserta didik yang tidak literat, akan ketinggalan.
Menurut saya untuk bisa mengerjakan soal TKA, tidak perlu sama sekali les, bimbel dll, cukup guru - nya mengubah cara mengajar dan melakukan asesmen dengan tahapan menalar, yang mana apabila kita ambil pada Taksonomi SOLO asesmen yang guru - guru berikan sudah harus berada pada level extended abstract, tinggalkan menyebutkan, dan menjelaskan. Jangan terjebak dengan nostalgia masa lalu, zaman sudah berubah, tantangan abad 21 ""critical thinking"" mohon dijawab, bukan pada peserta didik dulu, guru - guru nya yang harus mampu menjawab tantangan ini untuk dirinya, setelah itu bimbing peserta didiknya untuk ikut secara bersama menjawab tantangan itu.
Saya juga guru, dan statement saya ini saya tujukan kepada diri saya pribadi untuk menyadarkan saya tentang perubahan zaman yang sangat cepat, yuk para Guru Indonesia kita dulu nih yang merubah diri kita, agar kita bisa merangkul pundak peserta didik kita untuk kita ajak berjalan di jalan yang penuh dengan tantangan zaman. Jadikan contoh soal TKA yang sudah digulirkan beberapa hari ini menjadi contoh dalam kita mengasesi peserta didik kita.....😁😁😁",Positif,Negatif,Model gagal mengidentifikasi sentimen karena terdapat struktur kalimat negasi ganda atau ambiguitas kata.
TKA ku ketat,Netral,Negatif,Model gagal mengidentifikasi sentimen karena terdapat struktur kalimat negasi ganda atau ambiguitas kata.
Banyak siswa pake AI untuk menjawab,Negatif,Netral,Model gagal mengidentifikasi sentimen karena terdapat struktur kalimat negasi ganda atau ambiguitas kata.
"Woooi... kualitas lulusan SMA/SMK tu turun drastis. Kami yg di perguruan tinggi pusing lihat kapasitas mahasiswa input sekarang. TKA saat ini alat paling sederhana untuk mengukur bgmn penguasaan kompetensi dasar berfikir dlm masyarakat dunia! 

Drpd meributkan wajib tidak wajib, mending pikirkan format TKA yg dpt diterima ke depan.",Positif,Netral,Model gagal mengidentifikasi sentimen karena terdapat struktur kalimat negasi ganda atau ambiguitas kata.
